Date,Day Type,Movement,Movement Type,Weight,Sets,Reps,RPE
01/01/2021,Push,OHP,Compound,220,5,9,9
01/02/2021,Push,OHP,Compound,240,4,5,8
01/02/2021,Pull,Barbell Row,Compound,400,3,4,9
01/02/2021,Pull,Deadlift,Compound,260,5,6,10
01/02/2021,Push,Bench Press,Compound,330,3,2,8
01/03/2021,Legs,Back Squat,Compound,215,3,6,7
01/03/2021,Push,Bench Press,Compound,235,3,6,9
01/04/2021,Push,Bench Press,Compound,325,2,3,9
01/05/2021,Pull,Barbell Row,Compound,335,5,4,9
01/05/2021,Push,Bench Press,Compound,220,3,3,9
01/05/2021,Pull,Deadlift,Compound,280,2,9,7
01/05/2021,Push,Bench Press,Compound,135,3,3,7
01/06/2021,Push,Bench Press,Compound,385,4,3,9
01/06/2021,Legs,Back Squat,Compound,280,5,1,7
01/06/2021,Push,OHP,Compound,280,2,2,8
01/07/2021,Pull,Deadlift,Compound,300,2,3,9
01/07/2021,Push,OHP,Compound,225,5,9,7
01/07/2021,Push,Bench Press,Compound,255,3,4,7
01/08/2021,Pull,Barbell Row,Compound,230,2,6,9
01/08/2021,Legs,Back Squat,Compound,350,2,6,7
01/08/2021,Legs,Back Squat,Compound,150,5,5,8
01/08/2021,Push,OHP,Compound,230,2,9,7
01/08/2021,Pull,Barbell Row,Compound,370,1,10,10
01/09/2021,Legs,Front Squat,Compound,295,5,1,7
01/09/2021,Legs,Back Squat,Compound,360,2,1,10
01/09/2021,Push,Bench Press,Compound,150,3,2,10
01/10/2021,Push,OHP,Compound,270,4,4,7
01/10/2021,Push,OHP,Compound,220,5,5,7
01/11/2021,Legs,Front Squat,Compound,400,1,5,8
01/11/2021,Legs,Front Squat,Compound,255,5,9,10
01/11/2021,Legs,Back Squat,Compound,185,3,10,7
01/11/2021,Legs,Front Squat,Compound,280,3,8,9
01/11/2021,Legs,Back Squat,Compound,175,4,1,9
01/11/2021,Legs,Back Squat,Compound,225,4,6,7
01/12/2021,Legs,Back Squat,Compound,400,3,1,9
01/13/2021,Push,Bench Press,Compound,295,5,7,9
01/13/2021,Push,OHP,Compound,220,3,5,10
01/15/2021,Pull,Barbell Row,Compound,330,3,5,9
01/15/2021,Pull,Deadlift,Compound,245,3,10,10
01/15/2021,Push,Bench Press,Compound,170,2,5,7
01/16/2021,Push,OHP,Compound,255,2,1,9
01/16/2021,Legs,Front Squat,Compound,190,3,10,7
01/17/2021,Legs,Front Squat,Compound,190,1,8,7
01/17/2021,Push,Bench Press,Compound,345,2,10,9
01/18/2021,Pull,Deadlift,Compound,305,5,3,8
01/18/2021,Push,OHP,Compound,235,3,5,9
01/18/2021,Pull,Deadlift,Compound,325,4,2,7
01/18/2021,Pull,Barbell Row,Compound,340,5,7,9
01/18/2021,Legs,Back Squat,Compound,225,3,8,10
01/19/2021,Legs,Front Squat,Compound,275,1,6,9
01/19/2021,Pull,Deadlift,Compound,285,2,8,10
01/19/2021,Push,OHP,Compound,185,5,1,7
01/20/2021,Legs,Front Squat,Compound,175,2,3,8
01/20/2021,Legs,Back Squat,Compound,255,1,5,7
01/20/2021,Pull,Barbell Row,Compound,190,4,4,7
01/20/2021,Legs,Front Squat,Compound,160,1,7,7
01/20/2021,Push,OHP,Compound,275,3,1,7
01/21/2021,Pull,Deadlift,Compound,340,4,4,9
01/22/2021,Pull,Barbell Row,Compound,300,5,4,7
01/22/2021,Push,Bench Press,Compound,315,5,7,9
01/22/2021,Legs,Front Squat,Compound,175,4,6,7
01/22/2021,Legs,Front Squat,Compound,305,5,4,10
01/23/2021,Push,Bench Press,Compound,155,2,3,8
01/23/2021,Pull,Deadlift,Compound,170,1,5,8
01/23/2021,Push,OHP,Compound,215,5,6,7
01/23/2021,Pull,Barbell Row,Compound,325,4,4,10
01/23/2021,Push,OHP,Compound,290,4,4,9
01/24/2021,Legs,Back Squat,Compound,145,5,5,10
01/24/2021,Pull,Deadlift,Compound,340,2,10,9
01/24/2021,Legs,Front Squat,Compound,315,1,6,7
01/24/2021,Pull,Deadlift,Compound,160,1,4,8
01/25/2021,Push,OHP,Compound,365,5,1,9
01/27/2021,Push,OHP,Compound,140,3,8,10
01/28/2021,Legs,Front Squat,Compound,260,1,10,7
01/28/2021,Legs,Front Squat,Compound,160,4,5,7
01/29/2021,Pull,Deadlift,Compound,135,2,7,10
01/29/2021,Push,OHP,Compound,190,1,6,9
01/29/2021,Push,Bench Press,Compound,135,1,5,9
01/30/2021,Pull,Deadlift,Compound,380,4,9,10
01/30/2021,Push,Bench Press,Compound,360,2,5,10
01/30/2021,Legs,Back Squat,Compound,200,5,4,10
01/30/2021,Legs,Back Squat,Compound,195,1,2,9
01/31/2021,Pull,Deadlift,Compound,225,1,9,7
01/31/2021,Legs,Back Squat,Compound,205,5,3,10
02/01/2021,Push,OHP,Compound,235,2,7,8
02/01/2021,Push,Bench Press,Compound,135,1,10,7
02/01/2021,Legs,Front Squat,Compound,340,4,9,8
02/01/2021,Push,OHP,Compound,160,1,8,7
02/02/2021,Push,Bench Press,Compound,305,3,5,9
02/02/2021,Push,OHP,Compound,210,4,3,10
02/02/2021,Legs,Back Squat,Compound,195,2,1,8
02/03/2021,Pull,Deadlift,Compound,320,3,9,8
02/03/2021,Legs,Back Squat,Compound,385,1,4,8
02/03/2021,Pull,Deadlift,Compound,235,1,2,10
02/04/2021,Pull,Deadlift,Compound,205,2,3,7
02/04/2021,Push,Bench Press,Compound,375,4,1,8
02/04/2021,Push,Bench Press,Compound,190,1,1,10
02/04/2021,Legs,Front Squat,Compound,270,1,5,10
02/04/2021,Legs,Front Squat,Compound,310,1,8,8
02/04/2021,Pull,Deadlift,Compound,230,1,2,7
02/05/2021,Legs,Back Squat,Compound,285,3,7,10
02/05/2021,Legs,Back Squat,Compound,220,3,5,7
02/06/2021,Push,Bench Press,Compound,225,5,2,9
02/06/2021,Pull,Deadlift,Compound,270,3,4,8
02/06/2021,Legs,Front Squat,Compound,345,2,10,7
02/06/2021,Pull,Barbell Row,Compound,295,3,10,8
02/07/2021,Pull,Barbell Row,Compound,290,3,8,10
02/07/2021,Legs,Back Squat,Compound,355,5,6,7
02/07/2021,Push,Bench Press,Compound,365,4,3,8
02/08/2021,Pull,Barbell Row,Compound,215,3,7,8
02/08/2021,Push,Bench Press,Compound,160,5,2,7
02/08/2021,Push,OHP,Compound,385,5,8,10
02/08/2021,Push,Bench Press,Compound,275,5,8,10
02/08/2021,Push,Bench Press,Compound,250,4,8,8
02/08/2021,Push,Bench Press,Compound,285,1,2,8
02/08/2021,Push,OHP,Compound,335,1,3,8
02/09/2021,Legs,Front Squat,Compound,280,4,6,9
02/09/2021,Legs,Back Squat,Compound,335,5,1,10
02/09/2021,Push,Bench Press,Compound,290,3,7,8
02/09/2021,Legs,Front Squat,Compound,195,1,8,10
02/10/2021,Pull,Deadlift,Compound,390,2,10,9
02/11/2021,Pull,Barbell Row,Compound,230,4,5,8
02/11/2021,Legs,Front Squat,Compound,270,5,7,7
02/12/2021,Legs,Back Squat,Compound,145,1,1,8
02/12/2021,Legs,Back Squat,Compound,135,5,9,9
02/12/2021,Push,Bench Press,Compound,375,3,3,8
02/13/2021,Pull,Barbell Row,Compound,275,2,9,9
02/13/2021,Pull,Barbell Row,Compound,295,2,9,10
02/13/2021,Pull,Barbell Row,Compound,330,3,6,8
02/13/2021,Pull,Barbell Row,Compound,370,3,9,9
02/14/2021,Push,OHP,Compound,205,1,3,8
02/14/2021,Pull,Deadlift,Compound,180,4,9,9
02/15/2021,Pull,Barbell Row,Compound,255,3,4,8
02/15/2021,Legs,Front Squat,Compound,235,2,1,9
02/17/2021,Legs,Back Squat,Compound,255,2,5,10
02/17/2021,Pull,Barbell Row,Compound,240,3,1,7
02/18/2021,Pull,Barbell Row,Compound,400,2,2,7
02/19/2021,Pull,Barbell Row,Compound,275,2,5,10
02/19/2021,Legs,Back Squat,Compound,220,2,2,7
02/20/2021,Pull,Deadlift,Compound,145,4,3,10
02/21/2021,Push,Bench Press,Compound,220,3,8,8
02/21/2021,Pull,Barbell Row,Compound,340,2,10,7
02/21/2021,Pull,Barbell Row,Compound,260,4,4,7
02/21/2021,Pull,Barbell Row,Compound,355,1,9,10
02/21/2021,Push,Bench Press,Compound,340,3,8,10
02/22/2021,Push,Bench Press,Compound,390,1,10,10
02/22/2021,Legs,Front Squat,Compound,195,1,2,8
02/23/2021,Push,Bench Press,Compound,365,5,6,7
02/23/2021,Push,OHP,Compound,230,4,9,9
02/23/2021,Push,Bench Press,Compound,220,3,1,10
02/23/2021,Legs,Front Squat,Compound,365,3,4,10
02/24/2021,Legs,Front Squat,Compound,375,2,2,9
02/24/2021,Push,OHP,Compound,220,2,10,9
02/25/2021,Push,OHP,Compound,380,4,1,9
02/25/2021,Push,Bench Press,Compound,360,2,2,9
02/26/2021,Push,OHP,Compound,160,5,10,10
02/26/2021,Push,Bench Press,Compound,135,3,7,10
02/26/2021,Legs,Front Squat,Compound,295,4,6,9
02/27/2021,Legs,Back Squat,Compound,365,1,10,10
02/27/2021,Legs,Front Squat,Compound,260,5,7,8
02/27/2021,Pull,Barbell Row,Compound,350,1,10,9
02/28/2021,Push,OHP,Compound,275,5,10,9
02/28/2021,Legs,Front Squat,Compound,365,2,10,8
03/01/2021,Push,OHP,Compound,180,5,10,10
03/01/2021,Push,Bench Press,Compound,180,1,2,7
03/01/2021,Push,OHP,Compound,165,4,7,7
03/01/2021,Push,Bench Press,Compound,210,1,4,9
03/02/2021,Push,Bench Press,Compound,300,1,10,8
03/02/2021,Pull,Barbell Row,Compound,335,4,9,8
03/02/2021,Push,OHP,Compound,400,2,8,8
03/03/2021,Legs,Back Squat,Compound,150,2,3,8
03/03/2021,Legs,Front Squat,Compound,140,1,1,8
03/04/2021,Push,Bench Press,Compound,285,2,5,9
03/04/2021,Pull,Deadlift,Compound,360,5,10,8
03/05/2021,Push,Bench Press,Compound,135,2,3,10
03/05/2021,Push,OHP,Compound,330,4,10,9
03/05/2021,Pull,Barbell Row,Compound,150,5,3,9
03/06/2021,Push,OHP,Compound,275,5,1,8
03/06/2021,Pull,Barbell Row,Compound,245,5,7,7
03/07/2021,Push,Bench Press,Compound,345,5,7,8
03/08/2021,Push,Bench Press,Compound,245,2,2,9
03/08/2021,Push,Bench Press,Compound,370,5,4,9
03/08/2021,Push,Bench Press,Compound,185,2,2,8
03/09/2021,Push,OHP,Compound,345,3,5,10
03/09/2021,Pull,Barbell Row,Compound,390,2,9,9
03/09/2021,Pull,Barbell Row,Compound,400,5,1,7
03/09/2021,Push,OHP,Compound,240,1,8,9
03/10/2021,Push,Bench Press,Compound,295,3,10,8
03/10/2021,Push,OHP,Compound,150,4,7,8
03/11/2021,Pull,Barbell Row,Compound,355,2,4,10
03/11/2021,Push,OHP,Compound,350,1,6,10
03/11/2021,Pull,Deadlift,Compound,400,3,3,7
03/12/2021,Push,OHP,Compound,200,4,5,7
03/12/2021,Push,OHP,Compound,370,2,7,7
03/12/2021,Legs,Back Squat,Compound,335,1,10,9
03/12/2021,Pull,Deadlift,Compound,320,1,7,7
03/12/2021,Legs,Front Squat,Compound,315,5,7,7
03/13/2021,Pull,Barbell Row,Compound,190,2,4,7
03/13/2021,Pull,Barbell Row,Compound,175,5,5,7
03/13/2021,Legs,Back Squat,Compound,135,3,5,9
03/13/2021,Pull,Barbell Row,Compound,135,3,4,10
03/13/2021,Pull,Deadlift,Compound,190,4,7,10
03/14/2021,Push,Bench Press,Compound,315,4,8,7
03/15/2021,Pull,Deadlift,Compound,325,3,2,10
03/15/2021,Pull,Deadlift,Compound,270,3,10,9
03/15/2021,Pull,Deadlift,Compound,385,1,2,9
03/15/2021,Pull,Deadlift,Compound,195,3,4,8
03/15/2021,Push,Bench Press,Compound,350,4,2,9
03/15/2021,Pull,Deadlift,Compound,330,3,2,7
03/16/2021,Legs,Back Squat,Compound,255,5,7,7
03/16/2021,Pull,Deadlift,Compound,185,3,10,8
03/16/2021,Pull,Barbell Row,Compound,305,3,5,8
03/16/2021,Pull,Deadlift,Compound,175,2,6,9
03/16/2021,Push,Bench Press,Compound,335,3,1,9
03/16/2021,Push,Bench Press,Compound,205,5,9,9
03/17/2021,Legs,Front Squat,Compound,145,5,1,10
03/17/2021,Push,Bench Press,Compound,195,2,8,10
03/17/2021,Legs,Back Squat,Compound,210,3,6,8
03/18/2021,Push,Bench Press,Compound,370,4,4,7
03/18/2021,Push,OHP,Compound,310,2,3,10
03/18/2021,Pull,Deadlift,Compound,305,1,10,8
03/18/2021,Push,Bench Press,Compound,305,5,9,8
03/18/2021,Push,Bench Press,Compound,325,5,8,10
03/19/2021,Push,Bench Press,Compound,275,3,2,8
03/19/2021,Legs,Back Squat,Compound,275,5,3,9
03/19/2021,Push,Bench Press,Compound,150,5,6,8
03/19/2021,Push,Bench Press,Compound,345,5,6,7
03/20/2021,Push,OHP,Compound,290,1,5,9
03/21/2021,Legs,Back Squat,Compound,335,2,3,10
03/21/2021,Pull,Barbell Row,Compound,315,2,1,10
03/21/2021,Pull,Barbell Row,Compound,340,2,2,10
03/22/2021,Legs,Back Squat,Compound,145,3,5,8
03/22/2021,Legs,Back Squat,Compound,140,2,9,7
03/23/2021,Push,OHP,Compound,220,2,7,8
03/23/2021,Push,OHP,Compound,210,5,8,8
03/25/2021,Pull,Deadlift,Compound,290,5,9,10
03/25/2021,Push,OHP,Compound,310,5,9,10
03/27/2021,Pull,Barbell Row,Compound,395,5,7,10
03/27/2021,Legs,Front Squat,Compound,190,1,6,10
03/28/2021,Pull,Deadlift,Compound,355,1,5,7
03/28/2021,Push,Bench Press,Compound,205,5,9,10
03/28/2021,Legs,Back Squat,Compound,310,2,9,8
03/29/2021,Legs,Front Squat,Compound,275,1,4,8
03/29/2021,Push,Bench Press,Compound,245,1,2,8
03/30/2021,Pull,Barbell Row,Compound,345,5,9,7
03/30/2021,Push,OHP,Compound,155,2,2,10
03/30/2021,Push,OHP,Compound,230,2,5,8
03/30/2021,Push,Bench Press,Compound,235,1,8,9
03/30/2021,Push,Bench Press,Compound,295,4,9,9
03/30/2021,Legs,Back Squat,Compound,200,3,4,7
03/30/2021,Pull,Deadlift,Compound,190,2,3,10
03/30/2021,Legs,Back Squat,Compound,285,5,6,9
03/31/2021,Legs,Front Squat,Compound,370,2,3,7
03/31/2021,Legs,Back Squat,Compound,205,2,9,9
03/31/2021,Pull,Deadlift,Compound,350,3,7,8
03/31/2021,Pull,Deadlift,Compound,335,4,1,10
03/31/2021,Legs,Back Squat,Compound,265,3,1,8
04/01/2021,Pull,Deadlift,Compound,340,3,5,9
04/01/2021,Pull,Deadlift,Compound,380,1,4,10
04/01/2021,Pull,Deadlift,Compound,375,2,9,9
04/01/2021,Push,OHP,Compound,360,2,10,7
04/02/2021,Pull,Barbell Row,Compound,135,2,1,10
04/02/2021,Push,Bench Press,Compound,400,5,6,7
04/03/2021,Legs,Front Squat,Compound,195,4,1,8
04/03/2021,Pull,Barbell Row,Compound,250,3,7,10
04/03/2021,Pull,Deadlift,Compound,340,2,7,7
04/04/2021,Legs,Front Squat,Compound,275,1,9,10
04/04/2021,Pull,Barbell Row,Compound,205,3,9,9
04/04/2021,Push,Bench Press,Compound,255,3,8,7
04/05/2021,Legs,Back Squat,Compound,295,3,4,7
04/05/2021,Legs,Back Squat,Compound,140,1,2,9
04/05/2021,Push,OHP,Compound,200,3,6,8
04/06/2021,Legs,Back Squat,Compound,180,3,6,8
04/06/2021,Push,OHP,Compound,245,1,10,8
04/09/2021,Legs,Front Squat,Compound,280,5,4,10
04/09/2021,Pull,Deadlift,Compound,160,3,10,7
04/09/2021,Legs,Front Squat,Compound,305,1,3,8
04/10/2021,Pull,Barbell Row,Compound,175,1,1,7
04/11/2021,Pull,Deadlift,Compound,140,3,2,8
04/11/2021,Push,Bench Press,Compound,205,3,4,7
04/12/2021,Push,Bench Press,Compound,350,4,7,10
04/13/2021,Legs,Front Squat,Compound,230,4,1,7
04/13/2021,Pull,Deadlift,Compound,225,3,6,8
04/13/2021,Push,Bench Press,Compound,355,3,2,9
04/14/2021,Pull,Deadlift,Compound,220,4,6,10
04/14/2021,Pull,Deadlift,Compound,270,2,4,8
04/14/2021,Pull,Deadlift,Compound,395,2,8,8
04/14/2021,Push,OHP,Compound,390,1,2,8
04/15/2021,Legs,Back Squat,Compound,165,2,2,9
04/15/2021,Legs,Front Squat,Compound,325,3,1,10
04/16/2021,Pull,Barbell Row,Compound,350,1,8,9
04/17/2021,Push,OHP,Compound,385,5,9,9
04/17/2021,Push,OHP,Compound,225,3,5,7
04/17/2021,Pull,Barbell Row,Compound,220,3,6,10
04/18/2021,Push,OHP,Compound,360,4,7,9
04/19/2021,Legs,Front Squat,Compound,290,4,1,9
04/19/2021,Pull,Deadlift,Compound,155,3,5,7
04/19/2021,Pull,Deadlift,Compound,160,5,8,7
04/20/2021,Legs,Front Squat,Compound,230,4,2,9
04/20/2021,Pull,Barbell Row,Compound,390,2,10,7
04/21/2021,Push,Bench Press,Compound,355,3,5,7
04/22/2021,Pull,Barbell Row,Compound,215,5,4,10
04/23/2021,Push,OHP,Compound,220,5,7,7
04/23/2021,Pull,Barbell Row,Compound,305,2,10,8
04/23/2021,Pull,Barbell Row,Compound,205,5,1,10
04/23/2021,Pull,Deadlift,Compound,250,1,7,7
04/24/2021,Push,OHP,Compound,255,2,9,9
04/24/2021,Pull,Deadlift,Compound,365,5,3,9
04/24/2021,Push,Bench Press,Compound,390,3,3,10
04/25/2021,Legs,Back Squat,Compound,265,5,1,8
04/26/2021,Push,OHP,Compound,280,5,10,7
04/26/2021,Legs,Back Squat,Compound,170,3,7,8
04/26/2021,Legs,Front Squat,Compound,295,2,6,10
04/27/2021,Push,OHP,Compound,345,5,1,10
04/27/2021,Pull,Barbell Row,Compound,320,5,4,10
04/28/2021,Push,OHP,Compound,330,3,3,7
04/29/2021,Push,OHP,Compound,350,2,5,9
04/29/2021,Push,Bench Press,Compound,320,1,8,10
04/29/2021,Push,OHP,Compound,300,3,8,7
04/29/2021,Pull,Barbell Row,Compound,400,4,2,10
04/29/2021,Pull,Deadlift,Compound,250,4,2,9
04/30/2021,Pull,Deadlift,Compound,245,2,10,9
04/30/2021,Push,OHP,Compound,210,4,3,10
04/30/2021,Legs,Front Squat,Compound,365,3,1,9
04/30/2021,Legs,Front Squat,Compound,210,1,9,10
04/30/2021,Pull,Barbell Row,Compound,185,4,1,8
04/30/2021,Push,Bench Press,Compound,355,3,2,8
04/30/2021,Legs,Back Squat,Compound,315,1,2,8
04/30/2021,Push,Bench Press,Compound,385,2,8,9
05/01/2021,Pull,Deadlift,Compound,215,1,4,7
05/01/2021,Pull,Deadlift,Compound,330,3,3,8
05/02/2021,Push,Bench Press,Compound,155,3,5,8
05/02/2021,Push,Bench Press,Compound,265,5,5,10
05/03/2021,Legs,Front Squat,Compound,330,1,7,10
05/04/2021,Push,OHP,Compound,210,4,9,7
05/04/2021,Legs,Front Squat,Compound,260,3,5,9
05/04/2021,Pull,Deadlift,Compound,260,5,8,10
05/05/2021,Push,OHP,Compound,355,3,2,9
05/06/2021,Push,Bench Press,Compound,380,5,8,7
